,,estimate
RYTM,2020-05-04,0.8
RYTM,2020-08-03,0.83
RYTM,2020-11-02,0.83
RYTM,2021-03-01,0.81
RYTM,2021-05-03,0.02
RYTM,2021-08-03,0.75
RYTM,2021-11-02,0.84
RYTM,2022-03-01,1.0
RYTM,2022-05-03,0.98
RYTM,2022-08-02,0.79
RYTM,2022-11-08,1.01
RYTM,2023-03-01,0.82
RYTM,2023-05-02,0.71
RYTM,2023-08-01,0.8
RYTM,2023-11-07,0.76
RYTM,2024-02-22,0.7
RYTM,2024-05-07,2.34
RYTM,2024-08-06,0.7
RYTM,2024-11-05,0.8
RZC,2022-11-04,
RZC,2023-02-02,
RZC,2023-05-04,
RZC,2023-08-04,
RZC,2023-11-02,
RZC,2024-02-01,
RZC,2024-05-02,
RZC,2024-08-01,
RZC,2024-10-31,
RZC,2025-02-06,
RZLT,2018-05-15,
RZLT,2018-12-14,
RZLT,2019-02-14,
RZLT,2019-05-10,
RZLT,2019-11-14,
RZLT,2021-02-10,
RZLT,2021-05-17,
RZLT,2021-09-15,0.82
RZLT,2021-11-12,0.9
RZLT,2022-02-09,0.77
RZLT,2022-05-12,0.86
RZLT,2022-09-15,0.34
RZLT,2022-11-09,0.31
RZLT,2023-02-10,0.33
RZLT,2023-05-11,0.31
RZLT,2023-09-14,0.34
RZLT,2023-11-13,0.33
RZLT,2024-02-13,0.27
RZLT,2024-05-15,0.34
RZLT,2024-09-19,0.3
RZLT,2024-11-07,0.35
RZLT,2025-02-12,0.25
S,2015-02-05,0.23
S,2015-05-05,0.04
S,2015-08-04,0.08
S,2015-11-03,0.09
S,2016-01-26,0.27
S,2016-05-03,0.12
S,2016-07-25,0.08
S,2016-10-25,0.07
S,2017-01-31,0.08
S,2017-05-03,0.04
S,2017-08-01,0.01
S,2017-10-25,0.02
S,2018-02-02,0.04
S,2018-05-02,0.06
S,2018-08-01,0.01
S,2018-10-31,0.01
S,2019-01-31,0.02
S,2019-05-07,0.02
S,2019-08-02,0.03
S,2019-11-04,0.01
S,2020-01-27,0.05
S,2021-09-08,0.37
S,2021-12-07,0.25
S,2022-03-15,0.28
S,2022-06-01,0.34
S,2022-08-31,0.36
S,2022-12-06,0.34
S,2023-03-14,0.34
S,2023-06-01,0.33
S,2023-08-31,0.33
S,2023-12-05,0.27
S,2024-03-13,0.23
S,2024-05-30,0.24
S,2024-08-27,0.2
S,2024-12-04,0.18
SA,2015-03-13,
SA,2015-05-14,
SA,2015-08-13,
SA,2015-11-12,
SA,2016-03-24,
SA,2016-05-13,
SA,2016-08-11,
SA,2016-11-09,
SA,2017-03-29,
SA,2017-05-12,
SA,2017-08-11,
SA,2017-11-09,
SA,2018-03-20,
SA,2018-05-14,
SA,2018-08-09,0.05
SA,2019-05-13,0.03
SA,2019-08-13,0.03
SA,2019-11-13,0.03
SA,2020-03-27,0.01
SA,2020-05-13,0.05
SA,2020-08-11,0.04
SA,2020-11-12,0.04
SA,2021-03-24,0.04
SA,2021-05-13,0.04
SA,2021-08-13,0.05
SA,2021-11-10,0.05
SA,2022-03-24,0.03
SA,2022-05-16,0.03
SA,2022-08-12,0.07
SA,2022-11-14,0.07
SA,2023-03-30,0.07
SA,2023-05-15,0.05
SA,2023-08-14,0.03
SA,2023-11-13,0.03
SA,2024-03-27,0.03
SA,2024-05-13,0.03
SA,2024-08-13,0.03
SA,2024-11-13,
SABR,2015-02-18,0.26
SABR,2015-05-05,0.25
SABR,2015-08-04,0.23
SABR,2015-10-29,0.28
SABR,2016-02-09,0.26
SABR,2016-04-28,0.3
SABR,2016-08-02,0.25
SABR,2016-11-02,0.21
SABR,2017-02-07,0.28
SABR,2017-05-02,0.31
SABR,2017-08-01,0.32
SABR,2017-10-31,0.24
SABR,2018-02-14,0.22
SABR,2018-05-01,0.36
SABR,2018-07-31,0.31
SABR,2018-10-30,0.3
SABR,2019-02-12,0.28
SABR,2019-04-30,0.25
SABR,2019-08-01,0.16
SABR,2019-10-31,0.18
SABR,2020-02-26,0.13
SABR,2020-05-08,0.4
SABR,2020-08-07,0.82
SABR,2020-11-06,0.66
SABR,2021-02-16,0.65
SABR,2021-05-04,0.51
SABR,2021-08-03,0.65
SABR,2021-11-02,0.5
SABR,2022-02-15,0.54
SABR,2022-05-03,0.45
SABR,2022-08-02,0.45
SABR,2022-11-02,0.34
SABR,2023-02-15,0.39
SABR,2023-05-04,0.3
SABR,2023-08-03,0.28
SABR,2023-11-02,0.11
SABR,2024-02-15,0.15
SABR,2024-05-02,0.08
SABR,2024-08-01,0.11
SABR,2024-10-31,0.05
SABR,2025-02-20,0.1
SABS,2015-03-17,0.0
SABS,2015-05-14,0.0
SABS,2015-08-03,
SABS,2015-11-16,
SABS,2016-03-22,0.13
SABS,2016-05-16,
SABS,2016-08-10,
SABS,2016-11-10,
SABS,2021-11-22,0.06
SABS,2022-05-12,0.12
SABS,2022-08-10,0.13
SABS,2022-11-15,0.14
SABS,2023-05-16,0.08
SABS,2023-08-21,0.16
SABS,2023-11-13,0.1
SABS,2024-05-20,0.98
SABS,2024-08-08,1.13
SABS,2024-11-06,1.07
SACH,2017-08-15,
SACH,2017-11-13,
SACH,2018-05-15,
SACH,2018-08-13,
SACH,2018-11-13,
SACH,2019-04-01,
SACH,2019-05-13,
SACH,2019-08-14,
SACH,2019-11-14,
SACH,2020-03-30,
SACH,2020-05-08,
SACH,2020-08-10,
SACH,2020-11-09,
SACH,2021-03-31,
SACH,2021-05-14,
SACH,2021-08-16,0.1
SACH,2021-11-04,0.08
SACH,2022-03-31,0.11
SACH,2022-05-03,0.13
SACH,2022-08-04,0.15
SACH,2022-11-09,0.11
SACH,2023-03-30,0.11
SACH,2023-05-15,
SACH,2023-08-14,0.1
SACH,2023-11-13,0.11
SACH,2024-04-01,
SACH,2024-05-10,0.09
SACH,2024-08-14,0.11
SACH,2024-11-14,0.09
SAFE,2017-10-26,0.15
SAFE,2018-02-15,0.16
SAFE,2018-04-26,0.28
SAFE,2018-07-26,0.21
SAFE,2018-10-25,0.28
SAFE,2019-02-14,0.25
SAFE,2019-04-25,0.37
SAFE,2019-07-26,0.3
SAFE,2019-10-24,0.2
SAFE,2020-02-13,0.32
SAFE,2020-04-23,0.39
SAFE,2020-07-23,0.28
SAFE,2020-10-22,0.27
SAFE,2021-02-11,0.3
SAFE,2021-04-22,0.32
SAFE,2021-07-22,0.33
SAFE,2021-10-21,0.34
SAFE,2022-02-15,0.38
SAFE,2022-04-21,0.42
SAFE,2022-08-03,0.4
SAFE,2022-11-01,0.4
SAFE,2023-02-14,0.38
SAFE,2023-04-26,0.91
SAFE,2023-08-01,0.36
SAFE,2023-10-31,0.37
SAFE,2024-02-12,0.35
SAFE,2024-05-06,0.39
SAFE,2024-07-29,0.38
SAFE,2024-10-28,0.37
SAFE,2025-02-05,0.36
SAFT,2015-02-24,0.63
SAFT,2015-05-05,0.38
SAFT,2015-08-05,
SAFT,2015-11-03,
SAFT,2016-02-23,
SAFT,2016-05-03,
SAFT,2016-08-03,
SAFT,2016-11-01,
SAFT,2017-02-22,
SAFT,2017-05-03,
SAFT,2017-08-02,
SAFT,2017-11-01,
SAFT,2018-02-26,
SAFT,2018-05-02,
SAFT,2018-08-01,
SAFT,2018-10-31,
SAFT,2019-02-26,
SAFT,2019-05-01,
SAFT,2019-07-31,
SAFT,2019-10-30,
SAFT,2020-02-26,
SAFT,2020-05-06,
SAFT,2020-08-05,
SAFT,2020-11-04,
SAFT,2021-02-24,
SAFT,2021-05-05,
SAFT,2021-08-04,
SAFT,2021-11-03,
SAFT,2022-02-23,
SAFT,2022-05-04,
SAFT,2022-08-03,
SAFT,2022-11-02,
SAFT,2023-02-22,
SAFT,2023-05-03,
SAFT,2023-08-02,
SAFT,2023-11-01,
SAFT,2024-02-27,
SAFT,2024-05-08,
SAFT,2024-08-07,
SAFT,2024-11-05,
SAGE,2015-05-14,0.56
SAGE,2015-08-12,0.71
SAGE,2015-11-05,0.85
SAGE,2016-02-24,0.91
SAGE,2016-05-05,0.97
SAGE,2016-08-09,1.04
SAGE,2016-11-03,1.16
SAGE,2017-02-23,1.14
SAGE,2017-05-09,1.56
SAGE,2017-08-03,1.67
SAGE,2017-11-02,1.95
SAGE,2018-02-22,2.04
SAGE,2018-05-03,1.85
SAGE,2018-08-07,1.91
SAGE,2018-11-06,2.41
SAGE,2019-02-19,2.89
SAGE,2019-05-02,3.17
SAGE,2019-08-06,3.32
SAGE,2019-11-12,3.41
SAGE,2020-02-27,3.62
SAGE,2020-05-07,3.17
SAGE,2020-08-10,2.67
SAGE,2020-11-05,2.3
SAGE,2021-02-24,2.17
SAGE,2021-05-04,1.98
SAGE,2021-08-03,1.69
SAGE,2021-11-02,1.84
SAGE,2022-02-24,2.16
SAGE,2022-05-03,2.09
SAGE,2022-08-02,2.16
SAGE,2022-11-08,2.16
SAGE,2023-02-16,2.37
SAGE,2023-05-02,2.5
SAGE,2023-08-07,2.53
SAGE,2023-11-07,2.64
SAGE,2024-02-14,1.18
SAGE,2024-04-25,1.63
SAGE,2024-07-31,1.68
SAGE,2024-10-29,1.52
SAGE,2025-02-11,1.45
SAH,2015-02-24,0.62
SAH,2015-04-21,0.38
SAH,2015-07-20,0.47
SAH,2015-10-28,0.46
SAH,2016-02-23,0.59
SAH,2016-04-26,0.4
SAH,2016-07-26,0.5
SAH,2016-11-01,0.54
SAH,2017-02-21,0.62
SAH,2017-04-26,0.23
SAH,2017-07-28,0.48
SAH,2017-10-24,0.4
SAH,2018-02-27,0.79
SAH,2018-04-26,0.25
SAH,2018-07-27,0.34
SAH,2018-10-25,0.4
SAH,2019-02-20,0.75
SAH,2019-04-25,0.22
SAH,2019-07-25,0.47
SAH,2019-10-24,0.57
SAH,2020-02-19,0.89
SAH,2020-04-29,0.2
SAH,2020-07-30,0.31
SAH,2020-10-29,1.14
SAH,2021-02-17,1.43
SAH,2021-04-29,0.94
SAH,2021-07-29,1.64
SAH,2021-10-28,1.86
SAH,2022-02-16,1.83
SAH,2022-04-28,2.45
SAH,2022-07-28,2.52
SAH,2022-10-27,2.5
SAH,2023-02-15,2.26
SAH,2023-04-27,1.84
SAH,2023-07-27,1.63
SAH,2023-10-26,1.8
SAH,2024-02-14,1.8
SAH,2024-04-25,1.23
SAH,2024-08-05,1.39
SAH,2024-10-24,1.42
SAH,2025-02-12,1.46
SAIA,2015-01-30,0.45
SAIA,2015-04-29,0.49
SAIA,2015-07-29,0.71
SAIA,2015-10-28,0.66
SAIA,2016-02-05,0.31
SAIA,2016-04-27,0.4
SAIA,2016-07-29,0.56
SAIA,2016-10-26,0.5
SAIA,2017-02-03,0.43
SAIA,2017-04-28,0.41
SAIA,2017-07-28,0.62
SAIA,2017-10-27,0.56
SAIA,2018-02-02,0.53
SAIA,2018-04-27,0.72
SAIA,2018-08-01,1.11
SAIA,2018-10-31,1.04
SAIA,2019-02-04,0.89
SAIA,2019-05-01,0.9
SAIA,2019-07-31,1.32
SAIA,2019-10-30,1.29
SAIA,2020-02-03,0.85
SAIA,2020-04-29,0.8
SAIA,2020-07-29,0.89
SAIA,2020-10-29,1.3
SAIA,2021-02-08,1.29
SAIA,2021-04-28,1.37
SAIA,2021-07-29,2.0
SAIA,2021-10-28,2.33
SAIA,2022-02-02,2.53
SAIA,2022-05-02,2.7
SAIA,2022-07-27,3.49
SAIA,2022-10-31,3.68
SAIA,2023-02-03,2.8
SAIA,2023-04-28,2.68
SAIA,2023-07-28,3.25
SAIA,2023-10-27,3.59
SAIA,2024-02-02,3.19
SAIA,2024-04-26,3.43
SAIA,2024-07-26,4.0
SAIA,2024-10-25,3.53
SAIA,2025-02-03,2.79
SAIC,2015-03-31,0.71
SAIC,2015-06-09,0.75
SAIC,2015-09-01,0.66
SAIC,2015-12-02,0.66
SAIC,2016-03-29,0.64
SAIC,2016-09-08,0.79
SAIC,2016-12-08,0.84
SAIC,2017-03-30,0.8
SAIC,2017-06-12,1.0
SAIC,2017-09-07,0.91
SAIC,2017-12-07,0.85
SAIC,2018-03-29,0.81
SAIC,2018-06-12,1.02
SAIC,2018-09-10,0.98
SAIC,2018-12-06,1.14
SAIC,2019-03-28,0.89
SAIC,2019-06-06,1.21
SAIC,2019-09-05,1.27
SAIC,2019-12-05,1.44
SAIC,2020-03-26,1.32
SAIC,2020-06-04,1.41
SAIC,2020-09-02,1.42
SAIC,2020-12-03,1.53
SAIC,2021-03-25,1.43
SAIC,2021-06-03,1.49
SAIC,2021-09-02,1.47
SAIC,2021-12-06,1.45
SAIC,2022-03-28,1.18
SAIC,2022-06-06,1.78
SAIC,2022-09-01,1.68
SAIC,2022-12-05,1.74
SAIC,2023-04-03,1.63
SAIC,2023-06-05,1.79
SAIC,2023-09-07,1.6
SAIC,2023-12-04,1.66
SAIC,2024-03-18,1.44
SAIC,2024-06-03,1.93
SAIC,2024-09-05,1.86
SAIC,2024-12-05,2.17
SAIL,2018-02-21,0.09
SAIL,2018-05-09,0.03
SAIL,2018-08-08,0.08
SAIL,2018-11-07,0.07
SAIL,2019-03-05,0.03
SAIL,2019-05-08,0.07
SAIL,2019-08-06,0.11
SAIL,2019-11-06,0.04
SAIL,2020-02-24,0.02
SAIL,2020-05-07,0.1
SAIL,2020-08-06,0.08
SAIL,2020-11-05,0.09
SAIL,2021-02-25,0.05
SAIL,2021-05-10,0.07
SAIL,2021-08-09,0.12
SAIL,2021-11-09,0.12
SAIL,2022-02-28,0.12
SAIL,2022-05-05,0.23
SAIL,2022-08-09,0.22
SAM,2015-02-24,1.51
SAM,2015-04-29,0.69
SAM,2015-07-30,1.83
SAM,2015-10-29,2.66
SAM,2016-02-18,1.11
SAM,2016-04-21,0.96
SAM,2016-07-21,1.97
SAM,2016-10-20,2.54
SAM,2017-02-22,1.19
SAM,2017-04-26,0.26
SAM,2017-07-27,1.29
SAM,2017-10-26,1.84
SAM,2018-02-21,0.94
SAM,2018-04-25,0.38
SAM,2018-07-26,2.77
SAM,2018-10-25,3.17
SAM,2019-02-20,1.77
SAM,2019-04-24,0.9
SAM,2019-07-25,1.83
SAM,2019-10-29,2.79
SAM,2020-02-19,1.42
SAM,2020-04-22,1.75
SAM,2020-07-23,2.2
SAM,2020-10-22,5.24
SAM,2021-02-17,3.02
SAM,2021-04-22,2.39
SAM,2021-07-22,7.0
SAM,2021-10-21,4.04
SAM,2022-02-16,3.27
SAM,2022-04-21,2.05
SAM,2022-07-21,5.29
SAM,2022-10-20,3.16
SAM,2023-02-15,0.72
SAM,2023-04-27,0.32
SAM,2023-07-27,3.45
SAM,2023-10-26,4.25
SAM,2024-02-27,0.22
SAM,2024-04-25,0.08
SAM,2024-07-25,4.99
SAM,2024-10-24,4.96
SAMG,2015-03-12,
SAMG,2015-05-07,0.21
SAMG,2015-08-06,0.21
SAMG,2015-11-05,0.19
SAMG,2016-03-10,0.2
SAMG,2016-05-09,0.18
SAMG,2016-08-04,
SAMG,2016-11-03,
SAMG,2017-03-09,
SAMG,2017-05-04,
SAMG,2017-08-03,
SAMG,2017-11-01,
SAMG,2018-03-09,
SAMG,2018-05-03,
SAMG,2018-08-01,
SAMG,2018-11-01,
SAMG,2019-03-07,
SAMG,2019-05-02,
SAMG,2019-08-01,
SAMG,2019-10-31,
SAMG,2020-03-05,
SAMG,2020-04-30,0.37
SAMG,2020-08-03,0.23
SAMG,2020-11-05,0.33
SAMG,2021-03-04,0.36
SAMG,2021-05-06,0.4
SAMG,2021-07-29,0.42
SAMG,2021-11-04,0.45
SAMG,2022-03-02,0.37
SAMG,2022-05-05,0.48
SAMG,2022-07-28,0.41
SAMG,2022-11-03,0.31
SAMG,2023-03-02,0.29
SAMG,2023-05-04,0.38
SAMG,2023-07-27,0.37
SAMG,2023-11-02,0.38
SAMG,2024-03-07,
SAMG,2024-05-02,0.4
SAMG,2024-08-01,0.4
SAMG,2024-10-31,
SAN,2015-02-03,
SAN,2015-04-28,
SAN,2015-07-30,
SAN,2015-11-05,
SAN,2016-01-27,
SAN,2016-04-27,
SAN,2016-07-27,
SAN,2016-10-26,
SAN,2017-01-25,
SAN,2017-04-26,
SAN,2017-07-28,
SAN,2017-10-26,
SAN,2018-01-31,
SAN,2018-04-24,
SAN,2018-07-25,
SAN,2018-10-31,
SAN,2019-01-29,
SAN,2019-04-30,
SAN,2019-07-23,
SAN,2019-10-31,
SAN,2020-01-29,
SAN,2020-04-28,
SAN,2020-07-29,
SAN,2020-10-26,
SAN,2021-02-03,
SAN,2021-04-28,
SAN,2021-07-28,
SAN,2021-10-27,
SAN,2022-02-02,
SAN,2022-04-26,0.14
SAN,2022-07-28,0.14
SAN,2022-10-26,0.12
SAN,2023-02-02,0.13
SAN,2023-04-25,
SAN,2023-07-26,0.17
SAN,2023-10-25,0.17
SAN,2024-01-31,0.18
SAN,2024-04-30,0.19
SAN,2024-07-24,0.22
SAN,2024-10-29,0.22
SAN,2025-02-05,0.18
SANA,2021-03-24,0.48
SANA,2021-05-05,0.35
SANA,2021-08-04,0.37
SANA,2021-11-08,0.29
SANA,2022-03-16,0.36
SANA,2022-05-10,0.38
SANA,2022-08-04,0.46
SANA,2022-11-02,0.39
SANA,2023-03-16,0.41
SANA,2023-05-08,0.38
SANA,2023-08-03,0.42
SANA,2023-11-08,0.42
SANA,2024-02-29,0.37
SANA,2024-05-08,0.3
SANA,2024-08-08,0.27
SANA,2024-11-08,0.26
SAND,2015-03-18,0.01
SAND,2015-05-05,0.0
SAND,2015-07-30,0.01
SAND,2015-11-12,0.02
SAND,2016-03-30,0.02
SAND,2016-05-05,0.01
SAND,2016-08-03,0.01
SAND,2016-11-09,0.02
SAND,2017-02-21,
SAND,2017-05-08,0.01
SAND,2017-08-03,0.01
SAND,2017-11-01,0.02
SAND,2018-02-15,0.02
SAND,2018-05-09,0.01
SAND,2018-08-01,0.02
SAND,2018-11-14,0.02
SAND,2019-02-19,0.02
SAND,2019-05-07,0.02
SAND,2019-08-12,0.02
SAND,2019-10-30,0.03
SAND,2020-02-13,0.03
SAND,2020-05-07,0.03
SAND,2020-07-30,0.03
SAND,2020-10-29,0.04
SAND,2021-02-11,0.05
SAND,2021-04-29,0.05
SAND,2021-08-05,0.05
SAND,2021-11-03,0.04
SAND,2022-02-17,0.05
SAND,2022-05-11,0.06
SAND,2022-08-11,0.05
SAND,2022-11-07,0.03
SAND,2023-02-21,0.01
SAND,2023-05-10,0.04
SAND,2023-08-03,0.02
SAND,2023-11-06,0.01
SAND,2024-02-15,0.02
SAND,2024-05-02,0.01
SAND,2024-08-01,0.02
SAND,2024-11-07,0.03
SAND,2025-02-18,0.05
SANG,2022-02-10,
SANG,2022-05-12,
SANG,2022-09-26,0.12
SANG,2022-11-10,0.16
SANG,2023-02-09,0.08
SANG,2023-05-11,0.06
SANG,2023-09-27,0.05
SANG,2023-11-08,0.1
SANG,2024-02-08,0.09
SANG,2024-05-08,0.05
SANG,2024-09-18,0.04
SANG,2024-11-06,0.05
SANG,2025-02-05,0.03
SANM,2015-01-26,0.54
SANM,2015-04-20,0.47
SANM,2015-07-20,0.44
SANM,2015-11-02,
SANM,2016-01-25,0.52
SANM,2016-04-25,0.48
SANM,2016-07-25,0.63
SANM,2016-11-01,0.67
SANM,2017-01-30,0.59
SANM,2017-04-24,
SANM,2017-07-24,0.75
SANM,2017-10-30,0.66
SANM,2018-01-29,0.62
SANM,2018-04-23,0.25
SANM,2018-07-30,0.42
SANM,2018-10-29,0.54
SANM,2019-01-28,
SANM,2019-04-29,0.6
SANM,2019-07-29,0.67
SANM,2019-10-28,0.62
SANM,2020-01-27,0.55
SANM,2020-04-27,0.42
SANM,2020-07-29,0.24
SANM,2020-11-10,0.66
SANM,2021-02-02,0.74
SANM,2021-05-03,0.76
SANM,2021-08-02,0.81
SANM,2021-11-08,0.89
SANM,2022-01-31,0.78
SANM,2022-05-02,0.87
SANM,2022-08-01,0.98
SANM,2022-11-07,1.18
SANM,2023-01-30,1.27
SANM,2023-05-11,1.35
SANM,2023-07-31,1.34
SANM,2023-11-06,1.29
SANM,2024-01-29,1.05
SANM,2024-04-29,1.09
SANM,2024-07-29,1.1
SANM,2024-11-04,1.07
SANM,2025-01-27,1.11
SANW,2015-02-12,0.03
SANW,2015-05-14,0.03
SANW,2015-09-16,0.08
SANW,2015-11-12,0.13
SANW,2016-02-11,0.11
SANW,2016-05-12,0.01
SANW,2016-09-15,0.06
SANW,2016-11-10,0.11
SANW,2017-02-09,0.05
SANW,2017-05-10,0.05
SANW,2017-09-14,0.05
SANW,2017-11-09,0.11
SANW,2018-02-08,0.0
SANW,2018-05-09,0.01
SANW,2018-09-20,0.09
SANW,2018-11-08,0.06
SANW,2019-02-12,0.07
SANW,2019-05-09,0.16
SANW,2019-09-18,0.16
SANW,2019-11-13,0.17
SANW,2020-02-12,0.15
SANW,2020-05-14,0.12
SANW,2020-09-23,0.09
SANW,2020-11-11,0.19
SANW,2021-02-11,0.19
SANW,2021-05-13,0.1
SANW,2021-09-27,0.16
SANW,2021-11-11,0.16
SANW,2022-02-10,0.17
SANW,2022-05-16,0.1
SANW,2022-09-28,
SANW,2022-11-14,0.12
SANW,2023-02-13,0.12
SANW,2023-05-11,0.07
SANW,2023-09-27,0.09
SANW,2023-11-09,
SANW,2024-02-14,
SANW,2024-05-14,
SANW,2024-11-01,
SANW,2024-11-26,
SANW,2025-02-13,
SAP,2015-01-20,1.4
SAP,2015-04-21,0.53
SAP,2015-07-21,0.63
SAP,2015-10-20,0.83
SAP,2016-01-22,1.23
SAP,2016-04-20,0.56
SAP,2016-07-20,0.78
SAP,2016-10-21,0.79
SAP,2017-01-24,1.1
SAP,2017-04-25,0.57
SAP,2017-07-20,1.03
SAP,2017-10-19,0.89
SAP,2018-01-30,1.59
SAP,2018-04-24,0.57
SAP,2018-07-19,0.98
SAP,2018-10-18,1.12
SAP,2019-01-29,1.61
SAP,2019-04-24,0.89
SAP,2019-07-18,1.09
SAP,2019-10-21,1.25
SAP,2020-01-28,1.7
SAP,2020-04-21,0.82
SAP,2020-07-27,1.1
SAP,2020-10-25,1.28
SAP,2021-01-29,1.71
SAP,2021-04-22,0.7
SAP,2021-07-21,1.03
SAP,2021-10-21,1.01
SAP,2022-01-27,1.61
SAP,2022-04-22,0.57
SAP,2022-07-21,0.73
SAP,2022-10-25,0.78
SAP,2023-01-26,0.88
SAP,2023-04-21,0.78
SAP,2023-07-20,0.88
SAP,2023-10-18,1.11
SAP,2024-01-23,1.29
SAP,2024-04-22,0.94
SAP,2024-07-22,1.01
SAP,2024-10-21,1.31
SAP,2025-01-28,1.33
SAR,2015-01-14,0.42
SAR,2015-05-20,0.45
SAR,2015-07-14,0.44
SAR,2015-10-13,0.52
SAR,2016-01-13,0.44
SAR,2016-05-17,
SAR,2016-07-13,
SAR,2016-10-12,
SAR,2017-01-11,
SAR,2017-05-16,
SAR,2017-07-12,
SAR,2017-10-11,0.51
SAR,2018-01-10,0.55
SAR,2018-05-14,0.53
SAR,2018-07-10,0.54
SAR,2018-10-10,0.54
SAR,2019-01-09,0.55
SAR,2019-05-08,0.58
SAR,2019-07-10,0.57
SAR,2019-10-09,0.6
SAR,2020-01-08,0.59
SAR,2020-05-06,0.55
SAR,2020-07-08,0.52
SAR,2020-10-07,0.47
SAR,2021-01-06,0.48
SAR,2021-05-05,0.5
SAR,2021-07-07,0.51
SAR,2021-10-05,0.53
SAR,2022-01-05,0.55
SAR,2022-05-04,0.55
SAR,2022-07-06,0.55
SAR,2022-10-04,0.53
SAR,2023-01-10,0.67
SAR,2023-05-02,0.8
SAR,2023-07-10,0.91
SAR,2023-10-09,1.02
SAR,2024-01-09,1.06
SAR,2024-05-06,0.96
SAR,2024-07-09,0.97
SAR,2024-10-08,0.94
SAR,2025-01-08,0.82
SARO,2024-11-13,0.06
SASR,2015-01-22,0.43
SASR,2015-04-16,0.41
SASR,2015-07-16,0.44
SASR,2015-10-22,0.46
SASR,2016-01-21,0.44
SASR,2016-04-21,0.45
SASR,2016-07-21,0.45
SASR,2016-10-20,0.49
SASR,2017-01-19,0.54
SASR,2017-04-20,0.54
SASR,2017-07-20,0.59
SASR,2017-10-19,0.64
SASR,2018-01-18,0.63
SASR,2018-04-19,0.75
SASR,2018-07-19,0.8
SASR,2018-10-18,0.8
SASR,2019-01-17,0.79
SASR,2019-04-18,0.75
SASR,2019-07-18,0.79
SASR,2019-10-17,0.8
SASR,2020-01-23,0.81
SASR,2020-04-23,0.65
SASR,2020-07-23,0.42
SASR,2020-10-22,0.67
SASR,2021-01-21,0.93
SASR,2021-04-22,1.0
SASR,2021-07-22,1.17
SASR,2021-10-21,1.07
SASR,2022-01-20,1.1
SASR,2022-04-21,0.92
SASR,2022-07-21,0.97
SASR,2022-10-20,1.02
SASR,2023-01-26,0.93
SASR,2023-04-20,0.67
SASR,2023-07-25,0.69
SASR,2023-10-24,0.56
SASR,2024-01-23,0.53
SASR,2024-04-23,0.46
SASR,2024-07-23,0.45
SASR,2024-10-21,0.48
SASR,2025-01-28,0.48
SATS,2015-02-20,0.38
SATS,2015-05-07,0.44
SATS,2015-08-06,0.39
SATS,2015-11-06,0.39
SATS,2016-02-24,0.4
SATS,2016-05-10,0.44
SATS,2016-08-09,0.46
SATS,2016-11-08,0.39
SATS,2017-02-24,0.41
SATS,2017-05-10,0.17
SATS,2017-08-09,0.12
SATS,2017-11-08,0.01
SATS,2018-02-22,0.11
SATS,2018-05-10,0.05
SATS,2018-08-07,0.07
SATS,2018-11-08,0.1
SATS,2019-02-21,0.07
SATS,2019-05-08,
SATS,2019-08-08,0.11
SATS,2019-11-07,0.75
SATS,2020-02-20,0.04
SATS,2020-05-07,0.24
SATS,2020-08-06,0.3
SATS,2020-11-05,0.14
SATS,2021-02-23,0.0
SATS,2021-05-06,0.02
SATS,2021-08-03,0.08
SATS,2021-11-09,0.4
SATS,2022-02-24,0.5
SATS,2022-05-05,0.36
SATS,2022-08-04,0.32
SATS,2022-11-02,0.35
SATS,2023-02-22,0.39
SATS,2023-05-08,0.2
SATS,2023-08-08,0.23
SATS,2023-11-06,0.32
SATS,2024-02-29,0.02
SATS,2024-05-08,0.17
SATS,2024-08-09,0.37
SATS,2024-11-12,0.28
SATX,2023-05-26,
SATX,2023-09-05,
SATX,2024-05-23,
SATX,2024-09-06,
SATX,2024-12-09,0.12
SAVA,2015-02-17,
SAVA,2015-05-07,
SAVA,2015-07-23,
SAVA,2015-11-09,
SAVA,2016-03-01,
SAVA,2016-05-05,
SAVA,2016-07-19,
SAVA,2016-10-20,
SAVA,2017-02-17,
SAVA,2017-04-25,
SAVA,2017-08-09,
SAVA,2017-11-01,
SAVA,2018-02-05,
SAVA,2018-05-09,
SAVA,2018-07-26,
SAVA,2018-10-29,
SAVA,2019-03-25,
SAVA,2019-04-29,
SAVA,2019-08-12,0.12
SAVA,2019-10-29,0.16
SAVA,2020-03-26,
SAVA,2020-05-06,
SAVA,2020-08-12,0.06
SAVA,2020-11-09,0.07
SAVA,2021-03-23,0.05
SAVA,2021-04-21,0.08
SAVA,2021-08-03,0.11
SAVA,2021-11-10,0.17
SAVA,2022-02-28,0.41
SAVA,2022-05-05,0.43
SAVA,2022-08-03,0.42
SAVA,2022-11-07,0.47
SAVA,2023-02-28,0.58
SAVA,2023-05-01,0.56
SAVA,2023-08-03,0.58
SAVA,2023-11-07,0.9
SAVA,2024-02-28,0.4
SAVA,2024-05-10,0.51
SAVA,2024-08-08,0.44
SAVA,2024-11-07,1.37
SB,2015-02-26,0.02
SB,2015-06-08,0.03
SB,2015-07-30,0.08
SB,2015-11-09,0.06
SB,2016-02-10,0.1
SB,2016-06-02,0.17
SB,2016-07-28,0.16
SB,2016-10-31,0.15
SB,2017-02-23,0.08
SB,2017-05-18,0.09
SB,2017-07-26,0.05
